material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
aluminum,partial,0.1949970053691676,0.824394821270734,0.824394821270734,0.0218,0.030653529244033147,0.05245352924403315,2700.0,,2320.7015096113973,0.1217289845010733,1.411051462853283,1.382265582559606,8.27302828011678e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.022925972361302484,0.5243228537981283,-6.565349577919423e-37,-0.29198131758439244,active,
copper,partial,0.1937267072766169,0.48991929549887914,0.48991929549887914,0.012,0.02828409926238606,0.04028409926238606,8900.0,,3353.28583078228,0.13508409926238607,1.4626238942293568,1.4561181346382621,3.242300925578736e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.02254081030024764,0.5129682479787936,-4.917517835279968e-36,-0.2916570187701253,active,
aluminum,partial,0.25920520701787264,0.6005142517948937,0.6005142517948937,0.0218,0.04074705854320958,0.06254705854320958,2700.0,,2277.1710470802827,0.14243035079463232,1.4742334781087303,1.4951878765133662,5.136285802872519e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.016107810971819115,0.5062211991101245,-5.344816752724396e-37,-0.2800659613922118,active,
aluminum,partial,0.21358917342871203,0.6073835550015327,0.6073835550015327,0.0218,0.03357621806299353,0.05537621806299353,2700.0,,2306.464577625339,0.12772328540515104,1.411299368241389,1.415890069079959,4.7119008104766225e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.010651843265630186,0.5242687276362618,-1.7633612107097851e-37,-0.29198261196521963,active,
copper,partial,0.4455861212049009,0.993957782506965,0.993957782506965,0.012,0.06505557369591553,0.07705557369591552,8900.0,,2230.280892776288,0.17185557369591553,1.65628040029266,1.64239005255484,1.697850703592854e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.020341530523125696,0.0,0.0,0.0,heavy,2.28399999999997
aluminum,partial,0.23474701534937556,0.8283620214076937,0.8283620214076937,0.0218,0.03690223081292184,0.05870223081292184,2700.0,,2291.987601758662,0.13454478521879218,1.4740315764862881,1.4532085014870242,9.232243026406343e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.01640515351550375,0.5078236626273637,-1.2609506683990837e-36,-0.2846458881481708,active,
aluminum,heavily_coated,0.33797257918432977,0.9459766962236569,0.9459766962236569,0.0218,0.05312928944777663,0.07492928944777663,2700.0,,2239.788212215585,0.16782573925481975,1.6343664078411224,1.62301965587101,1.5018253980025945e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.00851354714001853,0.0,0.0,0.0,heavy,2.55799999999994
copper,partial,0.28082228759340966,0.496191990593843,0.496191990593843,0.012,0.041000053988637805,0.0530000539886378,8900.0,,2788.6774232404236,0.1478000539886378,1.4985463955058587,1.5231118302362632,3.638933274041028e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.015061491992629931,0.20933833271568433,-3.0647068950222835e-35,-0.27904173879778504,active,
aluminum,heavily_coated,0.360360438181833,0.8406471413499947,0.8406471413499947,0.0218,0.05664866088218415,0.07844866088218415,2700.0,,2231.3167223732376,0.17504380887420476,1.6491730730233845,1.6575547122461805,1.2370129203436847e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.006344157380291148,0.0,0.0,0.0,heavy,2.301999999999968
aluminum,partial,0.17355592226706068,0.577497614974763,0.577497614974763,0.0218,0.027282990980381935,0.049082990980381935,2700.0,,2339.2251084293966,0.11481616489812303,1.3451443195660364,1.342443490148073,3.8291592310641973e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.0328698842251144,0.5392356532501821,-2.9467943363318145e-39,-0.2912146181689144,active,
