u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.5762928269276226,0.8437955985176953,1.945227082234276,0.4,0.35,heavy
1.3990560134325705,0.8697422731712181,1.945227082234276,0.4,0.35,heavy
1.1930186131377347,0.7628619826482237,1.945227082234276,0.4,0.35,active
1.106164808434496,0.6057753301335493,1.945227082234276,0.4,0.35,active
1.419453968180032,0.356026985047449,1.945227082234276,0.4,0.35,heavy
1.2760824704475904,0.7074034089309886,1.945227082234276,0.4,0.35,active
1.0781031952928801,0.8042107081280451,1.945227082234276,0.4,0.35,active
1.630381447186674,0.9516110812602305,1.945227082234276,0.4,0.35,heavy
1.7176752867641834,0.9819099074996331,1.945227082234276,0.4,0.35,heavy
1.4471476157098058,0.8916526232261004,1.945227082234276,0.4,0.35,heavy
1.2070654932573108,0.6002721994241405,1.945227082234276,0.4,0.35,active
1.5626067241671857,0.5099455914177904,1.945227082234276,0.4,0.35,heavy
1.3158596275688161,0.6287777328906282,1.945227082234276,0.4,0.35,heavy
1.0793309534700954,0.621970904900423,1.945227082234276,0.4,0.35,active
1.1376843888462778,0.706929030747927,1.945227082234276,0.4,0.35,active
1.3447357360038559,0.8754109824578651,1.945227082234276,0.4,0.35,heavy
1.5828179508832956,0.8501577533894737,1.945227082234276,0.4,0.35,heavy
1.2667837815235452,0.7932908779108901,1.945227082234276,0.4,0.35,active
1.0992171889562112,0.9492645848918273,1.945227082234276,0.4,0.35,active
1.2649400200827543,0.5096478870375449,1.945227082234276,0.4,0.35,active
1.6312666871428452,0.588698027260231,1.945227082234276,0.4,0.35,heavy
1.125867037064651,0.5645552878193387,1.945227082234276,0.4,0.35,active
1.4615689645603174,0.5412983718141096,1.945227082234276,0.4,0.35,heavy
1.5415257949124543,0.7694070447251096,1.945227082234276,0.4,0.35,heavy
1.5303986425849765,0.8415689512018374,1.945227082234276,0.4,0.35,heavy
1.0170954102409093,0.589344903378641,1.945227082234276,0.4,0.35,active
1.3350285596736038,0.924260351211772,1.945227082234276,0.4,0.35,heavy
1.4186594783794906,0.8870161312650081,1.945227082234276,0.4,0.35,heavy
1.4824558189457364,0.6302685101571722,1.945227082234276,0.4,0.35,heavy
1.5865067253664924,0.7054448700250426,1.945227082234276,0.4,0.35,heavy
1.6385114869801904,0.7175865873917272,1.945227082234276,0.4,0.35,heavy
1.3482704394685008,0.5103085926275478,1.945227082234276,0.4,0.35,heavy
1.4074324917545527,0.6533740867492942,1.945227082234276,0.4,0.35,heavy
1.5090732852668554,0.943898634939889,1.945227082234276,0.4,0.35,heavy
1.5776495855987245,0.8899243861129499,1.945227082234276,0.4,0.35,heavy
1.2121328055381306,0.7413233284701115,1.945227082234276,0.4,0.35,active
1.3465934398747343,0.6555731896670982,1.945227082234276,0.4,0.35,heavy
1.3469205220379121,0.7049049625554054,1.945227082234276,0.4,0.35,heavy
1.5545224600393213,0.7978077892183267,1.945227082234276,0.4,0.35,heavy
1.0783386368681025,0.7835906838100019,1.945227082234276,0.4,0.35,active
1.316290099000665,0.7050231893671624,1.945227082234276,0.4,0.35,heavy
1.244293458572608,0.7176552540401444,1.945227082234276,0.4,0.35,active
1.254610484935358,0.6030896306796888,1.945227082234276,0.4,0.35,active
1.2702401647828303,0.9971304361145577,1.945227082234276,0.4,0.35,active
1.2140651124512796,0.6268348330375393,1.945227082234276,0.4,0.35,active
1.0747813436458977,0.7642311846770302,1.945227082234276,0.4,0.35,active
1.456351427605681,0.9722344117062396,1.945227082234276,0.4,0.35,heavy
1.2838087774474993,0.9496171563228499,1.945227082234276,0.4,0.35,heavy
1.4893097809370024,0.6333895257699726,1.945227082234276,0.4,0.35,heavy
1.1534839000035277,0.9509392488634354,1.945227082234276,0.4,0.35,active
1.4013052567024358,0.9403157207129345,1.945227082234276,0.4,0.35,heavy
1.5633774227547659,0.7435161406417983,1.945227082234276,0.4,0.35,heavy
1.5381251980588362,0.6710035703235044,1.945227082234276,0.4,0.35,heavy
1.2264904380367956,0.5378339548978877,1.945227082234276,0.4,0.35,active
1.4462282581463113,0.7762148650330996,1.945227082234276,0.4,0.35,heavy
1.3323481762823868,0.5605997177287751,1.945227082234276,0.4,0.35,heavy
1.4214443139105142,0.26817331229027774,1.945227082234276,0.4,0.35,heavy
1.122438370995261,0.7520788683083821,1.945227082234276,0.4,0.35,active
1.1227745140850294,0.5558485396502341,1.945227082234276,0.4,0.35,active
1.0830917400412547,0.6423032042046488,1.945227082234276,0.4,0.35,active
1.7435768703732157,0.9621136754827666,1.945227082234276,0.4,0.35,heavy
1.2250486880761438,0.9014636375196101,1.945227082234276,0.4,0.35,active
1.6878098417671554,0.8226237943359809,1.945227082234276,0.4,0.35,heavy
1.1612130470933004,0.9364771416528225,1.945227082234276,0.4,0.35,active
1.484414843927988,0.885474505397824,1.945227082234276,0.4,0.35,heavy
1.36670171889661,0.9181467894201645,1.945227082234276,0.4,0.35,heavy
1.1747867020617744,0.733065663166927,1.945227082234276,0.4,0.35,active
1.1251389708056536,0.7315609215246368,1.945227082234276,0.4,0.35,active
1.2022368609998753,0.6019503947101601,1.945227082234276,0.4,0.35,active
1.265617092558404,0.8777945467977389,1.945227082234276,0.4,0.35,active
1.2547145894535365,0.6199554493302443,1.945227082234276,0.4,0.35,active
1.6977211713761244,0.9305339171644055,1.945227082234276,0.4,0.35,heavy
1.5711710426536063,0.832868323930648,1.945227082234276,0.4,0.35,heavy
1.4186528343554572,0.949145256019186,1.945227082234276,0.4,0.35,heavy
1.4742101875699742,0.9197688199058172,1.945227082234276,0.4,0.35,heavy
1.3328674778612477,0.895176244536924,1.945227082234276,0.4,0.35,heavy
1.1034290613883713,0.6473949923109468,1.945227082234276,0.4,0.35,active
1.1592703191765572,0.6353590002198858,1.945227082234276,0.4,0.35,active
1.5344002913272141,0.8722838083166107,1.945227082234276,0.55,0.35,heavy
1.5920111020491308,0.8586398202447334,1.945227082234276,0.55,0.35,heavy
1.658946604558755,0.5429705394137485,1.945227082234276,0.55,0.35,heavy
1.5675119268181323,0.5240860395062219,1.945227082234276,0.55,0.35,heavy
1.0708679685926297,0.7688617945975463,1.945227082234276,0.55,0.35,active
1.0239837800705438,0.5294025418751533,1.945227082234276,0.55,0.35,active
1.2746961955240206,0.6559108481340565,1.945227082234276,0.55,0.35,active
1.4224074459245377,0.9902678789721369,1.945227082234276,0.55,0.35,active
1.3910247290344095,0.7461404635943525,1.945227082234276,0.55,0.35,active
1.1406634496806072,0.519632641302961,1.945227082234276,0.55,0.35,active
1.476042755911761,0.9075651789338397,1.945227082234276,0.55,0.35,heavy
1.4380797640794856,0.5773977823899823,1.945227082234276,0.55,0.35,active
1.3661740730715102,0.7007370061895878,1.945227082234276,0.55,0.35,active
1.4800527600154847,0.7855112351120288,1.945227082234276,0.55,0.35,heavy
1.5352843431028018,0.765726374193267,1.945227082234276,0.55,0.35,heavy
1.6525758396111285,0.9478338317306886,1.945227082234276,0.55,0.35,heavy
1.2980563231321838,0.9099980086928693,1.945227082234276,0.55,0.35,active
1.3933171484762144,0.884082261010516,1.945227082234276,0.55,0.35,active
1.631140109121849,0.550208999240038,1.945227082234276,0.55,0.35,heavy
1.125047345469474,0.3618833704108946,1.945227082234276,0.55,0.35,active
1.454706562520861,0.9173333521065126,1.945227082234276,0.55,0.35,active
1.118025387097446,0.5336578776460469,1.945227082234276,0.55,0.35,active
1.2825529592217677,0.735605711632309,1.945227082234276,0.55,0.35,active
1.2284756350882826,0.515770914978697,1.945227082234276,0.55,0.35,active
1.0998170297082763,0.7410479022461627,1.945227082234276,0.55,0.35,active
1.527822999138667,0.6381221862064769,1.945227082234276,0.55,0.35,heavy
1.3726311258940205,0.9035829607448455,1.945227082234276,0.55,0.35,active
1.437717742269608,0.9166169039890744,1.945227082234276,0.55,0.35,active
1.466441601702204,0.9975761085002087,1.945227082234276,0.55,0.35,active
1.1279756073222145,0.9478278331408669,1.945227082234276,0.55,0.35,active
1.683167777549335,0.9289651904259802,1.945227082234276,0.55,0.35,heavy
1.4904477294949083,0.9327324159041261,1.945227082234276,0.55,0.35,heavy
1.197107439000221,0.6583902056740853,1.945227082234276,0.55,0.35,active
1.444242590285082,0.7811614047197396,1.945227082234276,0.55,0.35,active
1.4558470761018378,0.6485946263328659,1.945227082234276,0.55,0.35,active
1.4210520750423883,0.6380050154077426,1.945227082234276,0.55,0.35,active
1.1136475831282344,0.7160160492830973,1.945227082234276,0.55,0.35,active
1.5569421112699389,0.6393032088332893,1.945227082234276,0.55,0.35,heavy
1.7041368042597116,0.8149038289881485,1.945227082234276,0.55,0.35,heavy
1.6400151820505664,0.7655689200991809,1.945227082234276,0.55,0.35,heavy
1.5117380689964874,0.9060997424972248,1.945227082234276,0.55,0.35,heavy
1.2035477795696627,0.8316803511387124,1.945227082234276,0.55,0.35,active
1.518203918347663,0.8444944757154779,1.945227082234276,0.55,0.35,heavy
